11,Forever 21,https://www.forever21.com/,2,3,5,2,1,2.6,"Forever 21 has been guilty of widespread labor violations in Los Angeles Fashion District's sweatshops.They scored a 7/100 in the Fashion Transparency Index, and were found to irresponsibly source rayon, viscose, and other tree-based fabrics for their apparel. Forever 21 received an D- rating in Ethical Fashion Report and have banned the use of fur and Angora in their production. They additionally have a program to recycle used clothing to prevent them being sent to the landfill. ",https://issuu.com/fashionrevolution/docs/fr_fashiontransparencyindex2020 https://www.ran.org/wp-content/uploads/2018/06/Lessons_From_The_Incense_Forests.pdf http://www.ico-spirit.com/en/ico-partners/ ,https://hsi.org.au/campaign/animal-welfare-5/fur-trade https://www.peta.org/living/fashion/more-companies-ban-angora/ ,http://www.dol.gov/opa/media/press/whd/WHD20122378.htm#.UMt-HXPjmXg https://issuu.com/fashionrevolution/docs/fr_fashiontransparencyindex2020 https://baptistworldaid.org.au/resources/2019-ethical-fashion-guide/ https://www.sourcingnetwork.org/uzbek-cotton-pledge https://airtable.com/shrtw343KVbXqVxov ,https://baptistworldaid.org.au/resources/2019-ethical-fashion-guide/
12,Lululemon,http://lululemon.com,4,3,6,2,3,3.5,"Lululemon rates a 13/100 on the Global ESG score that measures sustainability practices, and a 24% on the 2019 Corporate Human Rights Benchmark. They are a BlueSign member, Leaping Bunny Certified, fur-free, and uses RDS-certified down. Lululemon has been sourcing clothing from a factory in Bangladesh where women regularly experience physical violence, humiliation, and other abuses from their managers.Sustainable Apparel Coalition and Textile Exchange member working on reducing Lululemon's environmental and social impact. They also place on the Gender-Equality Index (GEI) as a company seeking to improve their transparency with reporting gender-based data such as gender discrimination, equal pay, and sexual harassment reporting. ",https://www.spglobal.com/esg/csa/yearbook/ranking/ https://www.bluesign.com/index.php?id=123  https://textileexchange.org/members/ ,https://www.leapingbunny.org/guide/brands https://hsi.org.au/campaign/animal-welfare-5/fur-trade https://responsibledown.org/find-responsible-down-standard/ ,https://www.corporatebenchmark.org/ https://www.theguardian.com/global-development/2019/oct/14/workers-making-lululemon-leggings-claim-they-are-beaten  https://www.spglobal.com/esg/csa/yearbook/ranking/  https://textileexchange.org/members/ ,https://www.corporatebenchmark.org/ https://www.spglobal.com/esg/csa/yearbook/ranking/ https://www.bloomberg.com/gei/about/
13,Nike,http://nike.com/,6,6,4,4,5,5.0,"Nike uses Uygur slave labor, has several human rights violations, and fails to pay minimum living wage to workers. They rely on production facilities in Cambodia that abuse their garment workers. Earned a 32% rating on Forest 500, a D- on the Carbon Disclosure Project's rating. In 2019 they became a Responsible Minerals Initiative member, but scored a 46% on performance in sourcing minerals in the Democratic Republic of the Congo. Scored the lowest rating in Ethical Consumer's tax avoidance. Made a commitment to zero discharge of hazardous chemicals by 2020. Bluesign member. Does not use fur, and is a member of the Working Leather Group that ensures compliance in tannery practices, however they do not have a clear animal welfare policy for their business practices. Became a core partner in 2019 for the Make Fashion Circular initiative. Became a Better Work partner in 2020 to improve working conditions in the garment industry. Scored a 24% on the Human Rights Benchmark. They also scored a 100% for LGBT workplace equality, ",https://forest500.org/rankings/companies https://www.cdp.net/en/responses/13279 https://www.roadmaptozero.com/contributors/ https://www.bluesign.com/index.php?id=128 https://www.responsiblemineralsinitiative.org/about/members-and-collaborations/  https://www.sourcingnetwork.org/mining-the-disclosures/   https://www.ellenmacarthurfoundation.org/our-work/activities/make-fashion-circular/participants http://wwwen.ipe.org.cn/GreenSupplyChain/CITI.aspx ,https://hsi.org.au/campaign/animal-welfare-5/fur-trade https://www.leatherworkinggroup.com/join-us/our-members ,https://www.aspi.org.au/report/uyghurs-sale https://labourbehindthelabel.org/tailoredwagesuk2019/ https://globalexchange.org/corporate-criminals-alumni/ https://www.aseantoday.com/2019/01/cambodian-garment-factories-improve-conditions-but-rights-violations-continue/ https://www.sourcingnetwork.org/mining-the-disclosures/ https://www.responsiblemineralsinitiative.org/about/members-and-collaborations/ https://betterwork.org/our-partners/brands-retailers/ ,https://www.ethicalconsumer.org/ethicalcampaigns/tax-justice/tax-avoidance-rankings https://www.asyousow.org/reports/the-100-most-overpaid-ceos-2017-are-fund-managers-asleep-at-the-wheel https://www.responsiblemineralsinitiative.org/about/members-and-collaborations/ https://www.corporatebenchmark.org/ https://www.hrc.org/cei
14,Adidas,http://adidas.com/,8,8.0,6.0,4.0,6.0,6.0,"Adidas uses Uygur slave labor and fail to pay minimum living wage to workers. In 2019, they recieved an A rating in the Ethical Fashion Report, a 92/100 in the KnowTheChain Benchmark, but a 24% in the Human Rights Benchmark. They did score a 69% (above averge, since the highest score was 73%) in the Fashion Transparency Index, signifying that Adidas publishes highly detailed supplier lists and policies. Adidas received a B rating for the Carbon Discosure Project's analysis. Scored 2nd place in the 2020 Global 100 Most Sustainable Corporations in the World list, but simultaneously scored a 27% for the Forest 500 ranking for their timber use. They have also contributed to worker abuse issues in Camboidia by relying on their factories for their supply chain. They ban angora use, and are a Leather Working Group member. They also are a program member of the Make Fashion Circular initiative. ",http://wwwen.ipe.org.cn/GreenSupplyChain/CITI.aspx https://www.newsweek.com/top-500-global-companies-green-rankings-2017-18 https://issuu.com/fashionrevolution/docs/fr_fashiontransparencyindex2020 https://www.spglobal.com/esg/csa/yearbook/ranking/ https://www.cdp.net/en/responses/21380 https://www.cdp.net/en/responses/21380 https://www.corporateknights.com/reports/2020-global-100/ https://bettercotton.org/better-cotton-leaderboard-2018/ https://forest500.org/rankings/companies https://www.roadmaptozero.com/contributors/ https://www.bluesign.com/index.php?id=124 https://www.ellenmacarthurfoundation.org/our-work/activities/make-fashion-circular/participants https://unfccc.int/climate-action/sectoral-engagement/global-climate-action-in-fashion/fashion-industry-charter-for-climate-action/participants-in-the-fashion-industry-charter-for-climate-action#eq-2 ,https://www.peta.org/living/fashion/more-companies-ban-angora/ https://www.leatherworkinggroup.com/join-us/our-members http://savethekangaroo.com/what_you_can_do/kickcrueltyout.shtml ,https://www.aspi.org.au/report/uyghurs-sale https://labourbehindthelabel.org/tailoredwagesuk2019/ https://baptistworldaid.org.au/resources/2019-ethical-fashion-guide/ https://knowthechain.org/benchmarks/ https://bettercotton.org/better-cotton-leaderboard-2018/ https://www.aseantoday.com/2019/01/cambodian-garment-factories-improve-conditions-but-rights-violations-continue/ https://www.fairlabor.org/affiliates/participating-companies?page=1  https://textileexchange.org/members/  https://www.adidas-group.com/en/sustainability/compliance/supply-chain-structure/ ,https://baptistworldaid.org.au/resources/2019-ethical-fashion-guide/ https://knowthechain.org/benchmarks/ https://www.corporatebenchmark.org/ https://issuu.com/fashionrevolution/docs/fr_fashiontransparencyindex2020
15,Everlane,http://everlane.com/,4,5,5,4,3,4.3,"Everlane appears to greenwash many of their products, as they scored a 30/100 on Remake's Sustainable Brand criteria. They claim to be transparent but fail to explain their wages paid to workers and their raw material sourcing. They lack certifications proving they pay fair wages, and source from countries that are high-risk for labor abuse. They do however make their denim jeans at Sai-Tex, one of the most sustainable denim factories in the world, yet the rest of their clothing is unaccounted for. They do make their ""sustainable"" clothing accessible by having lower prices, and advocate to go ""no new plastic"" by 2021 but not plastic-free. Everlane Donated 100% profits from Black Friday to environmental organization Oceana, and their leather is audited by the Leather Working Group. Everlane uses animal products (leather, wool, exotic animal hair). Their lack of third-party verification means they aren't held accountable with the claims they make. Everlane was also accused legitimately of union busting, where they laid off most workers who tried to unionize for Covid. Their ""radical transparency"" claim is more akin to ""convenient transparency"", and they are accused of anti-Black toxic workplace behavior.",https://directory.goodonyou.eco/brand/everlane https://www.eco-stylist.com/we-tested-everlane-and-they-failed/  https://www.everlane.com/renew ,https://www.leatherworkinggroup.com/,https://imperfectidealist.com/is-everlane-actually-ethical/ https://www.vogue.com/article/everlane-union-dispute-coronavirus-response ,https://docs.google.com/document/d/1fRAdftTxRvcq4tsUryXl_Sjcot0H_mG_liyXuQrMcOg/edit https://www.fastcompany.com/90449436/everlane-is-the-latest-company-to-come-under-fire-for-a-toxic-workplace
16,Vibram,vibram.com,,8.0,8.0,7.0,ND,7.7,"Vibram uses sustainable soles in their shoes, are vegan friendly, and removed from sales from Amazon.",https://www.snewsnet.com/press-release/vibram-expands-market-for-environmentally-friendly-ecostep  https://www.snewsnet.com/press-release/vibram-gains-ground-with-environmentally-friendly-ecostep  https://www.businesswire.com/news/home/20090602006441/en/Vibram%C2%AE-Partners-Simms%C2%AE-Design-Breakthrough-Sole-Fight  https://footwearnews.com/2020/business/power-players/vibram-sustainability-president-fabrizio-gamberini-1202902064/ ,https://www.vibrams.co.uk/collections/vibram-fivefingers/vegan-friendly,https://www.businesswire.com/news/home/20191126005199/en/Vibram-Corporation-USA-Ceases-Sales-Amazon-USA,
17,Nintendo,nintendo.com,,3,ND,1,3,3.0,"Nintendo uses Uyghur child labor, has poor e-recycling practices, and scored a low labor rights ranking.",https://www.spglobal.com/esg/csa/yearbook/ranking/ https://www.gamesindustry.biz/articles/2019-08-22-nintendo-continues-marginal-improvements-to-ethical-mineral-sourcing  https://www.nintendo.co.jp/csr/en/pdf/nintendo_csr2018e.pdf ,,https://knowthechain.org/benchmark/,https://www.reuters.com/article/us-nintendo-patent-infringement/u-s-jury-finds-nintendo-liable-for-patent-infringement-idUSBRE92C1DA20130313
18,Gamestop,gamestop.com,,6.0,ND,3.0,4,4.3,Gamestop incorporated customer trickery in their practices to make money and has a few labor lawsuits filed against them. They do however have a good game recycling/upcycling program to prevent used games from going into the landfill. ,http://news.gamestop.com/news-releases/news-release-details/gamestop-named-newsweeks-inaugural-greenest-big-companies  https://lifehacker.com/how-to-sell-or-recycle-your-old-electronics-1834456060  https://consumerist.com/2015/03/16/gamestop-dumpster-diver-accuses-employees-of-deliberately-destroying-usable-products/ ,,https://kotaku.com/new-gamestop-program-leads-employees-to-lie-to-customer-1791874332  https://www.polygon.com/2020/2/19/21132128/gamestop-employees-report-extreme-pressure-desperate-bosses ,https://www.cbr.com/gamestop-force-implementation-unsafe-covid-19-practices/
19,Petsmart,petsmart.com,,6,2,3,6,4.3,Petsmart has been responsible for many animal deaths at the hands of groomers and exotic animal trade and has poor labour conditions. They do fund a foundation for support-animals for people with disability.,https://www.businesswire.com/news/home/20120418006177/en/PetSmart%C2%AE-Dog-Waste-Lights-Park,https://www.peta.org/media/news-releases/state-warns-petsmart-over-severe-animal-welfare-violations/  https://www.cbsnews.com/news/petsmart-raid-could-lead-to-animal-abuse-charges/  https://www.fslawfirm.com/blog/current-cases/petco-animal-supplies-stores/  http://www.shareholderforum.com/petm/Library/20141126_PETM-SEC10Q.pdf  http://www.avianwelfare.org/issues/articles/ppadvant.htm  https://investigations.peta.org/reptiles-suffer-petsmart/ https://www.peta.org/media/news-releases/wilmington-petsmart-store-caught-violating-state-animal-welfare-regulations/ ,https://www.payscale.com/research/US/Employer=PetSmart_Inc./Hourly_Rate  https://topclassactions.com/lawsuit-settlements/lawsuit-news/47964-petsmart-class-action-settlement/  https://www.fslawfirm.com/blog/current-cases/petco-animal-supplies-stores/  http://www.shareholderforum.com/petm/Library/20141126_PETM-SEC10Q.pdf ,https://www.childrens.com/patient-families/resources-for-your-child/child-life/pet-assisted-therapy
20,Jolyn,jolyn.com,,7.0,9.0,ND,8.5,8.3,"Jolyn is slow-fashion, uses sustainable fabric, made in USA (yet source of labor TBD), partners with local charities, vegan, and fibers include no animal-based by-products. They donated $20k to BLM, practice model diversity and platforms Black aquatic athletes. However they are not fully body inclusive in their sizing.",https://fairlysouthern.com/sustainable-and-ethically-made-swimwear-shopping-guide-for-women-men-and-kids  https://citizensustainable.com/eco-friendly-swimwear/ https://www.citrussleep.com/lifestyle/11-best-organic-natural-and-eco-friendly-swimsuits ,(personal email),,"(personal email), review section of product"
21,Macy's,macys.com,4,5.0,7.0,2.0,6.0,5.0,"Macy's has a low human rights benchmark rating, and a Fashion Transparency Index score of 16/100. The Macy's Day Parade is unsustainable with reckless Helium use. They are making strides in corporate solar panel energy usage, working on diversification, and will stop selling and storing fur by 2021. Macy's also has a GoFundMe ""shop for a cause"" charity.",https://earth911.com/living-well-being/events-entertainement/macys-thanksgiving-day-parade-sustainability/ https://www.sangereby.com/work/work-pages/macys-green-living/ https://www.rockymountainair.com/blog/helium-splurged-on-macys-thanksgiving-parade/ ,https://www.nytimes.com/2019/10/21/business/macys-fur-sales.html https://www.macysinc.com/investors/news-events/press-releases/detail/1585/macys-inc-commits-to-going-fur-free ,https://www.corporatebenchmark.org/,https://charity.gofundme.com/shopforacause https://issuu.com/fashionrevolution/docs/fr_fashiontransparencyindex2020
