Bridger Brewing,Wineries & Breweries,100%,MT,12/8/2015
Brothers Craft Brewing,Wineries & Breweries,100%,VA,4/26/2016
Bryn Mawr College,Education (Higher),100%,PA,1/2/2014
Bucknell University,Education (Higher),12%,PA,11/24/2008
Burberry Group PLC,Clothing & Textile,100%,NY,1/10/2019
Burroughs & Chapin Company,Real Estate,6%,SC,7/24/2002
Busboys and Poets,Restaurants & Cafes,100%,DC,1/27/2011
Butte College,Education (Higher),89%,CA,4/19/2006
CalAtlantic Security,Consumer Products,100%,CA,4/13/2017
"California Polytechnic State University, San Luis Obispo",Education (Higher),22%,CA,4/1/2020
"California State University, Bakersfield",Education (Higher),11%,CA,5/23/2011
"California State University, Fullerton",Education (Higher),15%,CA,5/12/2017
California's Great America,"Museums, Parks & Zoos",100%,CA,4/27/2017
Camp Bountiful,Religious,100%,TX,12/5/2017
CANTEX,Industrial Goods & Srvcs.,30%,TX,8/26/2011
Capital Metropolitan Transit Authority - Austin,Transportation,13%,TX,8/12/2003
Capital One,Banking & Fin. Srvcs.,98%,VA,2/23/2010
Carleton College,Education (Higher),32%,MN,2/15/2012
"Carlton Fields, P.A.",Legal Services,100%,FL,2/5/2008
Carmichael Lynch / Minneapolis Office,"Marketing, Advtg & PR",100%,MN,2/18/2008
Carmo,Restaurants & Cafes,100%,LA,3/11/2015
Carnegie Mellon University,Education (Higher),105%,PA,7/11/2001
"Catholic Health, Buffalo, NY",Health Care,10%,NY,11/9/2009
Celgene Corporation,Health Care,73%,NJ,3/20/2018
Centers for Disease Control and Prevention,Govt. (Federal),45%,GA,1/8/2014
Central National Bank Center,Recreation,100%,OK,2/18/2015
Centre College,Education (Higher),27%,KY,9/29/2009
Chandler-Gilbert Community College,Education (Higher),22%,AZ,5/4/2018
Chatham University,Education (Higher),162%,PA,3/14/2012
Chelsea Piers,Recreation,100%,NY,10/7/2008
Cherry Republic,Retail,100%,MI,1/26/2016
Chicago Park District,"Govt. (Local, Municipal)",61%,IL,2/1/2011
Children's Health in Dallas,Health Care,24%,TX,6/27/2016
Children's Museum of Pittsburgh,"Museums, Parks & Zoos",100%,PA,2/14/2008
"Chipotle Mexican Grill / Austin, TX",Restaurants & Cafes,13%,TX,2/26/2004
Chop't Creative Salad Company,Restaurants & Cafes,100%,NY,12/10/2014
"Church & Dwight Co., Inc.",Consumer Products,107%,NJ,11/14/2017
"Cinemark USA, Inc.",Recreation,30%,TX,3/31/2016
"Ciorba Group, Inc.",Consulting Srvcs.,100%,IL,8/10/2017
"Cisco Systems, Inc.",Technology & Telecom,100%,CA,1/24/2006
Citi,Banking & Fin. Srvcs.,77%,NY,12/1/2006
City Colleges of Chicago,Education (Higher),100%,IL,3/30/2020
"City of Alexandria, VA","Govt. (Local, Municipal)",18%,VA,12/2/2010
"City of Ann Arbor, MI","Govt. (Local, Municipal)",9%,MI,6/13/2006
"City of Auburn, CA / Wastewater Treatment Plant","Govt. (Local, Municipal)",60%,CA,4/14/2010
"City of Austin, TX","Govt. (Local, Municipal)",100%,TX,9/19/2006
"City of Bainbridge Island, WA","Govt. (Local, Municipal)",118%,WA,7/30/2015
"City of Beaverton, OR","Govt. (Local, Municipal)",67%,OR,6/11/2007
"City of Bellingham, WA","Govt. (Local, Municipal)",50%,WA,7/31/2006
"City of Belmont, CA","Govt. (Local, Municipal)",69%,CA,12/20/2018
"City of Bend, OR","Govt. (Local, Municipal)",15%,OR,7/9/2007
"City of Boston, MA","Govt. (Local, Municipal)",35%,MA,12/5/2005
"City of Brisbane, CA","Govt. (Local, Municipal)",69%,CA,12/20/2018
"City of Burlingame, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"City of Cannon Beach, OR","Govt. (Local, Municipal)",12%,OR,5/7/2007
"City of Chula Vista, CA","Govt. (Local, Municipal)",35%,CA,8/17/2011
"City of Cincinnati, OH","Govt. (Local, Municipal)",12%,OH,6/27/2018
"City of Clayton, MO","Govt. (Local, Municipal)",12%,MO,8/2/2018
"City of College Park, MD","Govt. (Local, Municipal)",63%,MD,7/18/2011
"City of Columbus, OH","Govt. (Local, Municipal)",18%,OH,11/12/2014
"City of Corvallis, OR","Govt. (Local, Municipal)",26%,OR,9/12/2005
"City of Cottage Grove, OR","Govt. (Local, Municipal)",10%,OR,10/1/2008
"City of Creve Coeur, MO","Govt. (Local, Municipal)",15%,MO,1/11/2012
"City of Dallas, TX","Govt. (Local, Municipal)",100%,TX,12/7/2007
"City of Denton, TX","Govt. (Local, Municipal)",74%,TX,1/31/2013
"City of Durango, CO","Govt. (Local, Municipal)",102%,CO,4/20/2007
"City of Edmond, OK","Govt. (Local, Municipal)",100%,OK,11/30/2011
"City of El Lago, TX","Govt. (Local, Municipal)",79%,TX,9/30/2015
"City of Eugene, OR","Govt. (Local, Municipal)",5%,OR,7/30/2009
"City of Falls Church, VA","Govt. (Local, Municipal)",30%,VA,9/14/2012
"City of Foster City, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"City of Fremont, CA","Govt. (Local, Municipal)",15%,CA,10/14/2015
"City of Gaithersburg, MD","Govt. (Local, Municipal)",93%,MD,5/22/2013
"City of Gearhart, OR","Govt. (Local, Municipal)",28%,OR,5/30/2019
"City of Grand Rapids, MI","Govt. (Local, Municipal)",26%,MI,5/5/2008
"City of Greenbelt, MD","Govt. (Local, Municipal)",100%,MD,10/9/2012
"City of Half Moon Bay, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"City of Hayward, CA","Govt. (Local, Municipal)",62%,CA,4/9/2015
"City of Hillsboro, OR","Govt. (Local, Municipal)",93%,OR,10/26/2005
"City of Hood River, OR","Govt. (Local, Municipal)",11%,OR,2/12/2009
"City of Houston, TX","Govt. (Local, Municipal)",90%,TX,1/10/2008
"City of Hyattsville, MD","Govt. (Local, Municipal)",100%,MD,5/19/2011
"City of Irving, TX","Govt. (Local, Municipal)",51%,TX,4/6/2016
"City of Lacey, WA","Govt. (Local, Municipal)",100%,WA,7/24/2007
"City of Lake Oswego, OR","Govt. (Local, Municipal)",111%,OR,7/20/2015
"City of Lancaster, CA","Govt. (Local, Municipal)",36%,CA,10/11/2016
"City of Las Vegas, NV","Govt. (Local, Municipal)",42%,NV,3/12/2014
"City of Maplewood, MO","Govt. (Local, Municipal)",11%,MO,3/13/2015
"City of Medford, OR","Govt. (Local, Municipal)",13%,OR,11/7/2013
"City of Menlo Park, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"City of Mercer Island, WA","Govt. (Local, Municipal)",100%,WA,8/31/2012
"City of Millbrae, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"City of Milwaukie, OR","Govt. (Local, Municipal)",82%,OR,1/28/2013
"City of Moab, UT","Govt. (Local, Municipal)",25%,UT,9/15/2003
"City of Monterey, CA","Govt. (Local, Municipal)",101%,CA,12/29/2010
"City of Oak Ridge, TN","Govt. (Local, Municipal)",22%,TN,4/1/2014
"City of Palmdale, CA","Govt. (Local, Municipal)",13%,CA,12/17/2014
"City of Pasadena, CA","Govt. (Local, Municipal)",23%,CA,12/10/2007
"City of Pendleton, OR","Govt. (Local, Municipal)",30%,OR,9/17/2007
"City of Plano, TX","Govt. (Local, Municipal)",20%,TX,6/13/2018
"City of Portland, OR","Govt. (Local, Municipal)",85%,OR,7/11/2001
"City of Redwood City, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"City of River Falls, WI","Govt. (Local, Municipal)",37%,WI,12/8/2008
"City of Rockville, MD","Govt. (Local, Municipal)",143%,MD,3/1/2011
"City of San Carlos, CA","Govt. (Local, Municipal)",69%,CA,12/20/2018
"City of San Diego, CA","Govt. (Local, Municipal)",24%,CA,7/23/2003
"City of San Jose, CA","Govt. (Local, Municipal)",65%,CA,10/11/2007
"City of San Mateo, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"City of Santa Barbara, CA","Govt. (Local, Municipal)",13%,CA,6/9/2005
"City of Santa Clara, CA","Govt. (Local, Municipal)",100%,CA,6/14/2005
"City of Santa Cruz, CA / Wastewater Treatment Facility","Govt. (Local, Municipal)",92%,CA,6/8/2010
"City of Santa Monica, CA","Govt. (Local, Municipal)",102%,CA,6/25/2001
"City of St. Louis Park, MN","Govt. (Local, Municipal)",74%,MN,3/18/2019
"City of Stoughton, WI","Govt. (Local, Municipal)",37%,WI,1/28/2009
"City of Talent, OR","Govt. (Local, Municipal)",25%,OR,12/23/2015
"City of Watervliet, NY","Govt. (Local, Municipal)",100%,NY,11/9/2010
"City of Webster Groves, MO","Govt. (Local, Municipal)",13%,MO,9/18/2014
"City of West Lafayette, IN / WWTP","Govt. (Local, Municipal)",20%,IN,6/18/2009
"City of Wilsonville, OR","Govt. (Local, Municipal)",8%,OR,2/6/2017
Clarke,Other,56%,IL,4/19/2012
"Clatsop County, OR","Govt. (Local, Municipal)",10%,OR,3/26/2019
Cleveland State University,Education (Higher),49%,OH,8/19/2016
Clif Bar and Company,Food & Beverage,164%,CA,6/2/2011
Coastal Carolina University / The College of Science,Education (Higher),28%,SC,7/24/2002
Coda Coffee,Food & Beverage,100%,CO,9/3/2010
Colby College,Education (Higher),93%,ME,10/24/2003
Colby-Sawyer College,Education (Higher),100%,NH,8/1/2010
Colgate University,Education (Higher),100%,NY,4/12/2019
Colgate-Palmolive Company,Consumer Products,90%,NY,4/8/2014
College of the Atlantic,Education (Higher),100%,ME,12/2/2010
Colorado State University,Education (Higher),37%,CO,9/7/2006
Columbia Association,Non-Profit (NGO),102%,MD,2/19/2015
Columbia University,Education (Higher),100%,NY,9/9/2019
Commonwealth of Pennsylvania,Govt. (State),40%,PA,1/28/2016
Community Food Co-op,Retail,100%,WA,6/12/2015
Computershare / Bolingbrook Operations,Banking & Fin. Srvcs.,100%,IL,2/4/2014
Congregation Beit Simchat Torah,Religious,100%,NY,6/6/2014
Congressional North Associates Limited Partnership,Real Estate,100%,MD,5/9/2014
"Congressional Village Associates, LLC",Real Estate,100%,MD,5/9/2014
Consolidated Printing Company,Printing & Packaging,100%,IL,4/21/2010
CoreCentric Solutions,Industrial Goods & Srvcs.,100%,IL,8/9/2018
"CoreSpace, Inc.",Technology & Telecom,10%,TX,4/28/2016
Cornell University,Education (Higher),10%,NY,9/6/2017
Country Life Vitamins,Consumer Products,101%,NY,6/27/2008
"County of San Mateo, CA","Govt. (Local, Municipal)",69%,CA,12/31/2018
"County of Santa Clara, CA","Govt. (Local, Municipal)",45%,CA,1/29/2013
"County of Ventura, CA / General Services Agency","Govt. (Local, Municipal)",15%,CA,7/2/2018
creative werks LLC,Printing & Packaging,100%,IL,3/6/2009
Crystal Creek Logistics LLC,Shipping,92%,WA,12/8/2014
CTA Architects Engineers,Architecture Srvcs.,126%,MT,5/3/2011
CTC Holdings,Health Care,93%,NJ,2/13/2013
CTI Paper USA,Consumer Products,100%,WI,8/18/2006
"Cummins, Inc.",Industrial Goods & Srvcs.,43%,IN,6/3/2020
Curtis Packaging Corporation,Printing & Packaging,100%,CT,7/31/2006
CWJ Industries,Industrial Goods & Srvcs.,100%,TX,6/5/2017
Dallas Fort Worth International Airport,Transportation,100%,TX,7/16/2009
Dane County Regional Airport,Transportation,27%,WI,3/6/2009
Danone North America,Food & Beverage,100%,CO,2/12/2003
Dartmouth College,Education (Higher),16%,NH,6/25/2014
"David Evans and Associates, Inc.",Consulting Srvcs.,110%,OR,2/25/2004
Del Monte Foods / Hanford Facility,Food & Beverage,9%,CA,12/2/2010
Dell Inc.,Technology & Telecom,40%,TX,12/19/2007
Delta Dental of California,Health Care,11%,CA,6/22/2016
Denison University,Education (Higher),29%,OH,6/1/2018
DePaul University,Education (Higher),28%,IL,10/27/2010
"Deschutes Brewery, Inc.",Wineries & Breweries,30%,OR,5/31/2006
Designtex,Clothing & Textile,100%,NY,4/11/2011
Detroit Zoological Society,"Museums, Parks & Zoos",100%,MI,11/4/2016
Deutsche Bank,Banking & Fin. Srvcs.,97%,NY,6/1/2009
DG3 - Diversified Global Graphics Group,Printing & Packaging,100%,NJ,11/12/2008
DHL,Shipping,100%,FL,4/11/2014
Diamond Packaging,Printing & Packaging,100%,NY,11/5/2007
"Diamond Wipes International, Inc.",Consumer Products,38%,CA,11/26/2012
Digital Realty,Technology & Telecom,11%,CA,9/26/2016
"Disc Graphics, Inc.",Printing & Packaging,18%,NY,6/12/2007
"Disposable Hygiene, LLC",Consumer Products,100%,NJ,4/10/2018
District of Columbia,"Govt. (Local, Municipal)",102%,DC,7/2/2010
Donald Danforth Plant Science Center,Non-Profit (NGO),10%,MO,5/9/2012
Dow / Corporate Headquarters,Chemical,30%,MI,8/2/2011
Doyle Printing & Offset Company,Printing & Packaging,100%,MD,11/14/2011
Drexel University,Education (Higher),52%,PA,8/17/2006
Duquesne University,Education (Higher),58%,PA,12/9/2005
Dwight-Englewood School,Education (K-12),100%,NJ,4/1/2016
Earth Friendly Products,Consumer Products,109%,CA,5/16/2011
Earth Island,Food & Beverage,19%,CA,10/1/2018
Earth Source Organics,Food & Beverage,100%,CA,3/9/2015
Eastern Bank,Banking & Fin. Srvcs.,100%,MA,7/2/2012
Eatwell DC,Restaurants & Cafes,100%,DC,8/26/2008
Ecoprint,Printing & Packaging,100%,MD,2/4/2003
"Electronic Power Design, Inc.",Energy Services,34%,TX,4/18/2016
Element Fleet Management,Transportation,90%,MD,4/17/2018
Elevation Labs - previously Northwest Cosmetic Labs and Colorado Quality Products,Consumer Products,100%,ID,6/22/2010
Emerson College,Education (Higher),123%,MA,6/24/2005
Emory & Henry College,Education (Higher),82%,VA,6/1/2015
Empire State Building,Real Estate,100%,NY,1/1/2011
Encina Wastewater Authority,"Govt. (Local, Municipal)",86%,CA,8/3/2010
Energy Trust of Oregon,Non-Profit (NGO),100%,OR,7/30/2003
Epson Portland Inc.,Industrial Goods & Srvcs.,62%,OR,11/19/2003
"Equinix, Inc.",Technology & Telecom,104%,CA,10/12/2015
ERG,Consulting Srvcs.,100%,MA,6/25/2003
Evangeline's Bistro and Music House,Restaurants & Cafes,46%,MO,5/15/2015
"FAGE USA Dairy Industry, Inc.",Food & Beverage,5%,NY,6/8/2010
"Fairmont Hotel / Washington, DC",Hotels & Lodging,100%,DC,6/11/2003
Farmer Bros. Co.,Food & Beverage,100%,TX,8/27/2010
"Faz Eyecare, PLLC",Retail,25%,TX,3/22/2016
Federal Reserve Bank of Dallas,Banking & Fin. Srvcs.,113%,TX,3/12/2019
FedEx Express / Oakland Hub Facility,Shipping,11%,CA,10/3/2005
Fetzer Vineyards,Wineries & Breweries,100%,CA,6/22/2001
Fiddleheads Food Co-op,Retail,100%,CT,2/8/2016
Fifth Third Bank,Banking & Fin. Srvcs.,49%,OH,6/16/2010
Fineline Printing Group,Printing & Packaging,96%,IN,6/18/2014
First Baptist Church Pharr,Religious,100%,TX,12/18/2015
FirstService Residential / Manhattan Office including FS Energy,Energy Services,100%,NY,6/23/2016
Fitzgerald Auto Malls,Automotive,100%,MD,4/6/2007
Fordham University,Education (Higher),8%,NY,2/20/2019
Forest County Potawatomi Community,Tribal Nation,94%,WI,7/21/2010
"Forever Resorts / Big Bend Resorts, Chisos Mountain Lodge",Hotels & Lodging,84%,AZ,2/7/2007
"Forever Resorts / Grand Canyon North Rim, LLC",Hotels & Lodging,91%,AZ,2/7/2007
Forever Resorts / Signal Mountain Lodge,Hotels & Lodging,82%,WY,6/30/2003
Fort Lewis College,Education (Higher),58%,CO,2/23/2017
"Four Seasons Produce, Inc.",Food & Beverage,17%,PA,10/30/2018
Fox Run Vineyards,Wineries & Breweries,117%,NY,12/1/2015
"Franklin County, OH / 85 Meter Accounts","Govt. (Local, Municipal)",100%,OH,4/4/2016
Frog's Leap Winery,Wineries & Breweries,100%,CA,12/4/2004
Frontier Co-op,Food & Beverage,100%,IA,9/27/2006
FST Logistics,Shipping,100%,OH,3/5/2014
"FW 108 S. Fwy Investors, LP",Banking & Fin. Srvcs.,100%,TX,11/29/2017
FXCollaborative Architects LLP,Architecture Srvcs.,100%,NY,11/6/2009
Gann Academy,Education (K-12),100%,MA,1/12/2018
Garden of Life,Consumer Products,100%,FL,2/22/2006
GE Healthcare / Headquarters,Health Care,11%,WI,4/20/2005
"General Converting, Inc.",Printing & Packaging,100%,IL,2/28/2008
General Dynamics Land Systems / Central Office,Industrial Goods & Srvcs.,100%,MI,3/8/2010
General Dynamics Land Systems / Scranton,Industrial Goods & Srvcs.,100%,PA,3/8/2010
General Mills,Food & Beverage,36%,MN,9/18/2018
"General Motors, LLC",Automotive,31%,MI,3/15/2019
George Washington University,Education (Higher),50%,DC,1/24/2018
Georgetown University,Education (Higher),130%,DC,2/9/2011
Gettysburg College,Education (Higher),94%,PA,7/8/2009
"Giant Eagle, Inc.",Retail,7%,PA,9/22/2006
Glen's Garden Market,Retail,100%,DC,2/23/2017
Glenwood Management Corp.,Real Estate,100%,NY,6/22/2017
Goddard College,Education (Higher),73%,VT,5/16/2018
"Goldman Sachs Group, Inc.",Banking & Fin. Srvcs.,100%,NY,4/19/2016
"GoMacro, LLC",Food & Beverage,100%,WI,2/21/2019
Gonzaga University,Education (Higher),45%,WA,10/15/2012
Goodwill Industries International / Headquarters,Non-Profit (NGO),100%,MD,2/22/2011
Google LLC,Technology & Telecom,106%,CA,10/23/2013
Gordon College,Education (Higher),95%,MA,12/15/2016
Goshen Brewing Co.,Wineries & Breweries,100%,IN,5/20/2016
Goshen College,Education (Higher),104%,IN,5/15/2013
Goucher College,Education (Higher),100%,MD,7/28/2015
Grace Church School,Education (K-12),100%,NY,10/19/2009
Grace Farms Foundation,Non-Profit (NGO),100%,CT,6/15/2018
Grand Rapids Community College,Education (Higher),12%,MI,7/25/2011
GrandyOats,Food & Beverage,31%,ME,3/31/2016
Gray Graphics Corporation,Printing & Packaging,100%,MD,4/3/2009
"GrayHair Software, Inc.",Technology & Telecom,100%,NJ,1/21/2009
Great River Organic Milling,Food & Beverage,100%,WI,6/17/2009
"Green Energy Solutions, LLC",Energy Services,100%,NY,8/1/2019
"Green Geeks, LLC",Technology & Telecom,93%,CA,9/3/2009
Green House Data,Technology & Telecom,105%,WY,8/21/2007
Green Sage Cafe,Restaurants & Cafes,100%,NC,4/14/2015
Griffis Residential,Real Estate,98%,CO,9/15/2009
Grosvenor Market,Retail,100%,MD,8/20/2010
"Gwinnett County, GA / F. Wayne Hill Water Resources Center","Govt. (Local, Municipal)",20%,GA,11/7/2017
"Gymnastics Learning Center, Inc. (GLC)",Recreation,100%,MA,3/28/2016
H&M,Clothing & Textile,100%,NJ,3/3/2015
H-E-B Grocery Company,Retail,5%,TX,11/1/2005
Hal's Landing,Restaurants & Cafes,100%,TX,7/19/2017
Hamilton College,Education (Higher),12%,NY,7/22/2004
"HARBEC, Inc.",Industrial Goods & Srvcs.,108%,NY,8/24/2004
"Harding Poorman Group, Inc.",Printing & Packaging,100%,IN,10/2/2008
"Harmoni International Spice, Inc.",Food & Beverage,100%,CA,5/24/2013
Harmony Public Schools,Education (K-12),100%,TX,6/3/2013
Harris LithoGraphics,Printing & Packaging,100%,MD,6/15/2012
"Hasbro, Inc.",Consumer Products,100%,RI,12/1/2015
Haverford College,Education (Higher),90%,PA,4/19/2011
Haymarket Properties Group,Real Estate,100%,VA,5/14/2018
Herman Miller Inc.,Industrial Goods & Srvcs.,112%,MI,8/12/2003
Hertz Corporation / Selected U.S. Facilities,Automotive,27%,FL,5/1/2012
"Hilton Garden Inn / Springfield, Missouri",Hotels & Lodging,37%,MO,9/5/2012
Hobart and William Smith Colleges,Education (Higher),125%,NY,3/30/2011
Hofstra University,Education (Higher),32%,NY,5/3/2011
Holy Trinity Catholic Church,Religious,100%,DC,6/26/2017
Hops & Grain,Wineries & Breweries,100%,TX,3/11/2015
Hostelling International USA (HI USA),Hotels & Lodging,100%,MD,7/16/2012
Houghton College,Education (Higher),42%,NY,5/28/2015
HP Inc.,Technology & Telecom,100%,CA,6/13/2018
Humm Kombucha,Food & Beverage,100%,OR,12/15/2014
Hyatt Regency / Reunion & DFW Airport Hotels,Hotels & Lodging,100%,TX,8/3/2005
Hypertherm Inc.,Industrial Goods & Srvcs.,100%,NH,5/13/2013
IBM Cloud / Dallas and Houston Data Centers,Technology & Telecom,100%,TX,1/30/2015
IKEA,Retail,391%,PA,5/2/2016
Indiana University-Purdue University Indianapolis,Education (Higher),10%,IN,9/4/2013
Indianapolis Zoo,"Museums, Parks & Zoos",100%,IN,5/18/2010
Indio Products Inc.,Retail,100%,TX,5/31/2017
Intel Corporation,Technology & Telecom,101%,CA,3/9/2004
Inter-American Development Bank,Non-Profit (NGO),101%,DC,11/14/2007
"Interface, Inc.",Clothing & Textile,103%,GA,7/9/2001
Iowa State University,Education (Higher),10%,IA,4/15/2011
"Iron Mountain Information Management, LLC",Technology & Telecom,86%,MA,2/18/2016
Irving Street Kitchen,Restaurants & Cafes,100%,OR,9/8/2015
iStoreGreen,Other,100%,NY,2/27/2009
Ithaca College,Education (Higher),109%,NY,8/14/2017
